Norma,Descricao da Sigla,Data de Apresentacao,Autor,Partido,Ementa,Similaridade Semantica,Link Documento PDF,Link Página Web,Indexacao,Último Estado,Data Último Estado,Situação
PL 1177/2023,Projeto de Lei,2023-03-15,Maurício Carvalho,UNIÃO,"Altera a Lei nº 12.965, de 23 de abril de 2014, para dispor sobre a suspensão, o bloqueio e a recuperação de contas em aplicações de internet cuja segurança tenha sido comprometida.",0.569,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2244249,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2351508,"Alteração, Marco Civil da Internet, obrigatoriedade, Provedor de aplicações, Internet, meios, bloqueio, desbloqueio, conta de usuário, comprometimento, segurança, diretrizes.",Recebimento,2025-10-14,Tramitando em Conjunto
PL 2532/2023,Projeto de Lei,2023-05-11,Laura Carneiro,PSD,"Estabelece a obrigatoriedade dos provedores de serviços de internet e redes sociais atuarem preventivamente contra a divulgação não autorizada de conteúdo íntimo, visando proteger a privacidade, dignidade e integridade das pessoas.",0.566,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2271649,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2361976,"Alteração, Lei Geral de Proteção de Dados Pessoais (LGPDP), obrigatoriedade, provedor de aplicações, internet, rede social, adoção, medida preventiva, proibição, divulgação, ausência, autorização, conteúdo impróprio, cena de sexo, nudez, pornografia, proteção, privacidade, integridade, pessoa.",Retirada de Pauta,2025-08-19,Pronta para Pauta
PL 1900/2023,Projeto de Lei,2023-04-14,Nicoletti,UNIÃO,"Altera a Lei nº 7.565, de 19 de dezembro de 1986, que dispõe sobre o Código Brasileiro de Aeronáutica, para estabelecer a obrigatoriedade de disponibilidade de acesso à internet em voos de longa duração no espaço aéreo brasileiro, e dá outras providências.",0.563,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2258930,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356417,"Alteração, Código Brasileiro de Aeronáutica, critério, obrigatoriedade, empresa de transporte aéreo, disponibilização, internet, passageiro, voo.",Designação de Relator(a),2025-04-07,Aguardando Parecer
PL 3516/2023,Projeto de Lei,2023-07-11,Domingos Sávio,PL,"Altera a Lei nº 12.965, de 23 de abril de 2014, para dispor sobre a identificação de contas em aplicações de internet que permitem a publicação de conteúdos pelos próprios usuários.",0.561,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2299541,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2373728,"Alteração, Marco Civil da Internet (2014), identificação, Plataforma digital, Usuário de serviços, Rede social digital, Moderação de conteúdo, Divulgação de informação falsa, Notícia falsa (fake news), Conteúdo ilegal, Conteúdo impróprio.",Notificações,2024-05-17,Tramitando em Conjunto
PL 2734/2023,Projeto de Lei,2023-05-23,Cobalchini,MDB,Dispõe sobre a universalização da internet na zona rural,0.558,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2276715,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2364284,"Universalização, internet, Área rural. _ Agência Nacional de Telecomunicações (Anatel), garantia, conexão, internet, População rural.",Notificacao para Publicação Intermediária,2025-04-15,Tramitando em Conjunto
PL 2857/2023,Projeto de Lei,2023-05-30,Jonas Donizette,PSB,Fixa requisitos para que provedores hospedem e conectem sítios (sites) de compra à rede mundial de computadores (internet) e dá outras providências.,0.556,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2280906,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366249,"Obrigatoriedade, provedor de busca, conexão, site (internet), compra online, Dados cadastrais, fornecedor, Informação ao consumidor.",Publicação de Proposição,2023-08-01,Tramitando em Conjunto
PL 1380/2023,Projeto de Lei,2023-03-23,Adilson Barroso,PL,"Dispõe sobre diretrizes para a instituição de políticas publicas pelos Estados, objetivando a prestação de serviços de telecomunicações para prover acesso à internet nas áreas rurais de seus territórios.",0.551,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2248901,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2353333,"Diretrizes, Estado (Ente federado), Política Pública, Infraestrutura de telecomunicação, Acesso, internet, área rural.",Notificações,2024-05-16,Tramitando em Conjunto
PL 4506/2023,Projeto de Lei,2023-09-15,Hugo Motta,REPUBLICANOS,Dispõe sobre a disponibilização de aplicativo de celular com acesso ilimitado de internet para Atendimento do Serviço Móvel de Urgência - SAMU.,0.546,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2329018,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388128,"Alteração, Lei Orgânica da Saúde, disponibilização, software aplicativo, dispositivo móvel, acesso irrestrito, internet, atendimento, Serviço de Atendimento Móvel de Urgência (SAMU).",Designação de Relator(a),2025-04-28,Aguardando Parecer
PL 3176/2023,Projeto de Lei,2023-06-20,Gilvan Maximo,REPUBLICANOS,"Determina a disponibilização de pontos
de acesso gratuitos à internet em locais
públicos de grande circulação de pessoas.",0.544,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2291379,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2370579,"Disponibilização, ponto de acesso (produto), gratuidade, internet, local público, circulação, pessoa. _União, repasse, recursos financeiros, custeio, instalação, ponto de acesso (produto), condicionamento, apresentação, projeto básico, município, estado (ente federado), Distrito Federal. _Prioridade, município, Índice de Desenvolvimento Humano (IDH).",Notificações,2024-05-16,Tramitando em Conjunto
PL 5303/2023,Projeto de Lei,2023-11-01,Renata Abreu,PODE,Dispõe sobre a prestação de serviços mediante o uso de inteligência artificial.,0.537,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2354386,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2400917,"Requisito, utilização, inteligência artificial, prestação de serviços, pessoa física, pessoa jurídica, diretrizes.",Designação de Relator(a),2025-05-20,Aguardando Parecer
PL 3623/2023,Projeto de Lei,2023-07-25,Gilvan Maximo,REPUBLICANOS,Cria incentivos para o fornecimento de acesso patrocinado à internet em banda larga.,0.528,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2302368,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2374395,"Alteração, Lei do Fundo de Universalização dos Serviços de Telecomunicações (2000), recursos, Fundo de Universalização dos Serviços de Telecomunicações (Fust), patrocínio, acesso, internet, usuário de serviços.",Notificacao para Publicação Intermediária,2025-04-15,Tramitando em Conjunto
PL 4460/2023,Projeto de Lei,2023-09-13,Jefferson Campos,PL,"Altera a Lei no 12.965, de 23 de abril de 2014, que estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil, para responsabilizar subsidiariamente provedor de aplicações de internet por dano decorrente de estelionato e outras fraudes, no caso em que especifica.",0.525,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2327727,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387525,"Alteração, Marco Civil da Internet (2014), critério, Responsabilidade subsidiária, provedor de aplicações, Internet, publicação, Conteúdo de terceiros, Golpe financeiro, estelionato, fraude, dano material, vítima.",Notificações,2024-05-15,Tramitando em Conjunto
PL 1087/2023,Projeto de Lei,2023-03-13,Célia Xakriabá,PSOL,"Inclui dispositivo na Lei nº 12.965, de 23 de abril de 2014, para dispor sobre princípios, garantias, direitos e deveres para o uso da internet no Brasil, para determinar que as plataformas digitais implementem sistemas internos de monitoramento da disseminação de discursos de ódio direcionados a mulheres, negros e negras, e LGBTQIA+.",0.519,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2242780,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2351200,"Alteração, Marco Civil da Internet, responsabilidade, provedor de aplicações, internet, Plataforma digital, rede social, monitoramento, prevenção, denúncia, discurso de ódio, Incitação ao crime, Crime contra a mulher, racismo, discriminação, População LGBT.",Publicação de Proposição,2023-04-25,Tramitando em Conjunto
PL 1363/2023,Projeto de Lei,2023-03-23,Marco Brasil,PP,"Institui o Programa Conecta Rural, com o objetivo de conceder descontos de 50% (cinquenta por cento) nos impostos federais, incidentes na aquisição de produtos e serviços de conexão de internet em áreas rurais.",0.519,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2248309,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2353013,"Criação, Programa Conecta Rural, concessão, produtor rural, habitante, área rural, benefício fiscal, desconto, Imposto sobre Produtos Industrializados (IPI), Imposto sobre Operações de Crédito, Câmbio e Seguro ou Relativas a Títulos ou Valores Mobiliários (IOF), Imposto de Importação, aquisição, produtos, serviços, conexão, internet.",Apensação,2025-03-13,Tramitando em Conjunto
PL 2593/2023,Projeto de Lei,2023-05-16,Jonas Donizette,PSB,Dispõe sobre a obrigatoriedade de inclusão de um botão de segurança nos caixas eletrônicos e aplicativos de internet banking.,0.513,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2273339,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2362507,"Obrigatoriedade, instituição financeira, implantação, Botão (internet), aplicativo móvel, sítio (internet), internet banking, Terminal eletrônico de autoatendimento.",Notificações,2024-10-09,Tramitando em Conjunto
PL 1253/2023,Projeto de Lei,2023-03-21,Mário Heringer,PDT,"Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para estabelecer a obrigatoriedade de oferta de atendimento humano por provedores de redes sociais, ferramentas de busca e de serviços de mensageria instantânea através da internet, para solução administrativa de problemas relativos a serviços pagos de postagem e a violações de termos de uso, e dá outras providências.",0.511,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2246171,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352033,"Alteração, Marco Civil da Internet (2014), usuário de serviços, internet, direito à ampla defesa, garantia ao contraditório, violação, Política de uso aceitável. _Canal de atendimento, Sítio (internet), Rede social digital, Provedor de aplicação de mensagem instantânea, Motor de busca, Atendimento com interação humana.",Publicação de Proposição,2023-05-02,Tramitando em Conjunto
PL 680/2023,Projeto de Lei,2023-02-27,Greyce Elias,AVANTE,"Institui a obrigatoriedade de legenda descritiva nas transmissões de TV, cinema e na internet.",0.509,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2237478,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349360,"Alteração, Lei da Língua Brasileira de Sinais, obrigatoriedade, Legenda oculta, mídia, internet, televisão, cinema.",Publicação de Proposição,2023-04-20,Tramitando em Conjunto
PL 1547/2023,Projeto de Lei,2023-03-30,Rafael Prudente,MDB,Regulamenta a profissão de criador de conteúdo digital e dá outras providências.,0.507,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2253190,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2354446,"Regulamentação profissional, Criador de Conteúdo Digital, Competência profissional, direitos, deveres, Exercício profissional, diretrizes.",Notificacao para Publicação Intermediária,2025-10-14,Tramitando em Conjunto
PL 3379/2023,Projeto de Lei,2023-07-04,Neto Carletto,AVANTE,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, de diretrizes e bases da educação nacional, para dispor sobre a inclusão do ensino de Inteligência Artificial no ensino médio.",0.503,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2296507,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2372533,"Alteração, Lei de Diretrizes e Bases da Educação Nacional (1996), inclusão, Disciplina obrigatória, Inteligência artificial, ensino médio.",Apensação,2025-03-13,Tramitando em Conjunto
PL 94/2023,Projeto de Lei,2023-02-02,Marangoni,UNIÃO,"Dispõe sobre a obrigatoriedade de órgãos e entidades públicas federais transmitirem as sessões colegiadas por meio audiovisual, em tempo real e pela internet.",0.502,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2232163,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346761,"Obrigatoriedade, órgão público, entidade pública, administração direta, administração indireta, transmissão ao vivo, sessão colegiada, recursos audiovisuais, internet. _Prazo, armazenamento, modo virtual, meio eletrônico, gravação, sessão colegiada. _Dispensa, transmissão ao vivo, assunto sigiloso.",Notificações,2024-08-13,
PL 4192/2023,Projeto de Lei,2023-08-29,Alice Portugal,PCdoB,Determina às concessionárias de rodovias o fornecimento de acesso gratuito à internet em todos os postos de pedágios e em pontos de apoio.,0.501,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2319760,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2383539,"Alteração, Lei de Reestruturação dos Transportes Aquaviário e Terrestre (2001), obrigatoriedade, Concessionária de serviço de transporte, acesso gratuito, internet, Pedágio, Ponto de parada, usuário, transporte rodoviário.",Recebimento,2023-09-12,Tramitando em Conjunto
PL 2559/2023,Projeto de Lei,2023-05-15,Júnior Mano,PSB,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para estabelecer a obrigatoriedade de disponibilidade de internet em alta velocidade nos veículos de transporte escolar, nos termos que especifica.",0.498,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2272539,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2362179,"Alteração, Código de Trânsito Brasileiro, obrigatoriedade, instalação, ponto de acesso (produto), internet, roteador de alta velocidade, concessão, solução de conectividade, interior, veículo, transporte escolar.",Arquivamento - Art.133 do RI,2025-10-16,Arquivada
PL 1785/2023,Projeto de Lei,2023-04-11,Luisa Canziani,PSD,"Esta Lei altera a Lei nº 4.117, de 27 de agosto de 1962 (Código de Telecomunicações) e a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet) para dispor sobre a indisponibilidade de conteúdo que permita a identificação de autores de crimes com potencial de causar comoção social e dá outras providências.",0.498,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2257240,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2355592,"Alteração, Código Brasileiro de Telecomunicações, indisponibilização, conteúdo informativo, identificação, autor (direito penal), crime, resultado, comoção social. _Alteração, Marco Civil da Internet, provedor de aplicações, internet, disponibilização, conteúdo informativo, geração, terceiro, responsabilidade subsidiária. _Conteúdo jornalístico, publicação, mídia, meio físico, meio eletrônico, ocultação, identidade, autor (direito penal), crime, resultado, comoção social.",Notificacao para Publicação Intermediária,2025-08-04,
PL 4828/2023,Projeto de Lei,2023-10-03,José Medeiros,PL,Dispõe sobre a devolução automática do consumo de dados de navegação aos consumidores em caso de falhas na prestação do serviço de acesso à Internet.,0.495,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2339316,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2393005,"Obrigatoriedade, Provedor de acesso, devolução, consumidor, crédito, Franquia de dados, decorrência, Falha na prestação de serviços, acesso, Internet, diretrizes.",Notificações,2024-03-14,Tramitando em Conjunto
PL 3391/2023,Projeto de Lei,2023-07-05,Márcio Honaiser,PDT,"Altera a Lei nº 13.146, de 6 de julho de 2015, estabelecendo parâmetros de acessibilidade para a realização de videoconferências na internet.",0.490,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2296760,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2372639,"Alteração, Estatuto da Pessoa com Deficiência (2015), criação, parâmetro, Acessibilidade, Pessoa com deficiência, Videoconferência, Transmissão ao vivo, Internet, Provedor de acesso, Provedor de aplicações.",Notificações,2025-06-11,Tramitando em Conjunto
PL 1912/2023,Projeto de Lei,2023-04-14,Carol Dartora,PT,"Altera a Lei nº 12.965, de 23 de abril de 2014, para dispor sobre a garantia da responsabilização ulterior de usuários da internet, respeitada a liberdade de pensamento e de expressão, em conformidade com o artigo 13, da Convenção Americana sobre Direitos Humanos, Decreto nº 678, de 06 de novembro de 1992.",0.473,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2259044,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356488,"Alteração, Marco Civil da Internet, garantia, responsabilização, posterioridade, usuário, internet, respeito, Liberdade de pensamento, Liberdade de expressão. _Proibição, censura prévia, garantia, responsabilidade, posterioridade, identificação, manifestação, vídeo, imagem, incitação à violência, discriminação racial, discurso de ódio, intolerância, convicção política, disseminação, notícia falsa (fake news), produção, venda, pornografia infantil. _Providências, provedor de acesso, rede social, Sítio (internet), recebimento, denúncia, solicitação, bloqueio, conteúdo digital.",Encerramento de Prazo,2024-05-28,Aguardando Parecer
PL 2483/2023,Projeto de Lei,2023-05-10,Amom Mandel,CIDADANIA,"Altera a Lei nº 11.638, de 28 de dezembro de 2007, para dispor sobre a publicação na rede mundial de computadores (internet) de demonstrações financeiras de sociedades de grande porte.",0.473,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2270741,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2361488,"Alteração, Lei Federal, divulgação, internet, demonstração contábil, Sociedade de grande porte.",Publicação de Proposição,2025-05-30,Aguardando Designação de Relator(a)
PL 5191/2023,Projeto de Lei,2023-10-25,Vinicius Carvalho,REPUBLICANOS,"Altera a Lei nº 13.812, de 16 de março de 2019, para determinar a disponibilização e divulgação, de informações sobre pessoas desaparecidas na internet, nos diversos meios de comunicação e em operadoras de telefonia celular e empresas de tecnologia proprietárias de redes sociais e serviços de mensagens instantâneas, de informações que contenham informações das pessoas desaparecidas.",0.470,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2350930,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2399394,"Alteração, Lei Federal, Política Nacional de Busca de Pessoas Desaparecidas, Poder Público, convênio, Operadora de telefonia móvel, Provedor de aplicação de mensagem instantânea, rede social, divulgação, informação, pessoa desaparecida. _ Alteração, Estatuto da Criança e do Adolescente (ECA) (1990), serviços, localização, criança, adolescente, pessoa desaparecida, cooperação, Emissora de radiodifusão, televisão, Operadora de telefonia móvel, Provedor de aplicação de mensagem instantânea, rede social.",Publicação de Proposição,2023-10-31,Tramitando em Conjunto
PL 791/2023,Projeto de Lei,2023-03-02,Emanuel Pinheiro Neto,MDB,"Estabelece procedimentos a serem adotados pela União em regime de colaboração com os Estados, Distrito Federal e Municípios em situação de riscos e desastres mediante o uso de Sistemas de Processamento de Dados e de Inteligência Artificial (IA), com objetivo na organização, solução e implementação integrada e da outras providências.",0.468,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2238986,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349820,"Colaboração, União, Estado (ente federado), Distrito Federal (Brasil), Município, Sistema computacional, Processamento de Dados, Inteligência artificial, Situação de risco, desastre ambiental, Desastre humano, prevenção, fiscalização, desmatamento, exploração florestal, proteção ambiental, diretrizes.",Designação de Relator(a),2025-06-02,Aguardando Parecer
